EURUSD,Open,High,Low,Close,Range HL
25.03.2014,1.3839,1.3847,1.375,1.3826,97
26.03.2014,1.3826,1.3828,1.3777,1.3781,51
27.03.2014,1.3781,1.3797,1.3729,1.374,68
28.03.2014,1.374,1.3773,1.3705,1.3752,68
31.03.2014,1.3755,1.3809,1.3725,1.3769,84
01.04.2014,1.3769,1.3815,1.3769,1.3793,46
02.04.2014,1.3793,1.382,1.3753,1.3767,67
03.04.2014,1.3767,1.3805,1.3698,1.372,107
04.04.2014,1.372,1.3731,1.3673,1.3705,58
07.04.2014,1.3697,1.3749,1.3694,1.3742,55
08.04.2014,1.3742,1.3812,1.3737,1.3797,75
09.04.2014,1.3797,1.3862,1.378,1.3855,82
10.04.2014,1.3855,1.3899,1.3836,1.3886,63
11.04.2014,1.3886,1.3906,1.3864,1.3885,42
14.04.2014,1.3843,1.3863,1.3808,1.3821,55
15.04.2014,1.3821,1.3833,1.3791,1.3815,42
16.04.2014,1.3815,1.3851,1.3804,1.3816,47
17.04.2014,1.3816,1.3865,1.3811,1.3814,54
18.04.2014,1.3814,1.3822,1.3809,1.3813,13
21.04.2014,1.3816,1.3831,1.3787,1.3793,44
22.04.2014,1.3793,1.3825,1.3785,1.3805,40
23.04.2014,1.3805,1.3855,1.38,1.3817,55
24.04.2014,1.3817,1.3843,1.3792,1.3831,51
25.04.2014,1.3831,1.3848,1.3827,1.3834,21
28.04.2014,1.3837,1.3879,1.3815,1.3851,64
29.04.2014,1.3851,1.3879,1.3806,1.3812,73
30.04.2014,1.3812,1.3877,1.3775,1.3867,102
01.05.2014,1.3867,1.3889,1.3863,1.387,26
02.05.2014,1.387,1.3881,1.3812,1.3869,69
05.05.2014,1.3871,1.3887,1.3865,1.3875,22
06.05.2014,1.3875,1.3951,1.3872,1.3928,79
07.05.2014,1.3928,1.3939,1.391,1.391,29
08.05.2014,1.391,1.3993,1.3833,1.384,160
09.05.2014,1.384,1.3845,1.3745,1.3758,100
12.05.2014,1.3755,1.3775,1.3749,1.3757,26
13.05.2014,1.3757,1.3772,1.3689,1.3704,83
14.05.2014,1.3704,1.3731,1.3698,1.3715,33
15.05.2014,1.3715,1.3732,1.3648,1.371,84
16.05.2014,1.371,1.3727,1.3685,1.3694,42
19.05.2014,1.3703,1.3734,1.3689,1.3709,45
20.05.2014,1.3709,1.3714,1.3678,1.3702,36
21.05.2014,1.3702,1.3723,1.3635,1.3687,88
22.05.2014,1.3687,1.3688,1.3645,1.3656,43
23.05.2014,1.3656,1.366,1.3616,1.3629,44
26.05.2014,1.3628,1.3655,1.3615,1.3646,40
